公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
北大医疗信息技术有限公司,北大医信,500-2000人,不需要融资,海淀区,python运维开发工程师,1-3年,本科,6k-12k,"五险一金,年终奖,餐补,商业保险",医疗丨健康,开发|测试|运维类,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",后端开发,北京
广州小鹏汽车科技有限公司,小鹏汽车,2000人以上,B轮,天河区,Python开发高级/资深工程师/专家,3-5年,不限,20k-40k,福利待遇，发展前景,汽车丨出行,开发|测试|运维类,"['年底双薪', '专项奖金', '绩效奖金', '股票期权']",后端开发,广州
北京推想科技有限公司,推想科技,150-500人,C轮,城关区,python开发实施工程师（兰州),1-3年,大专,6k-10k,弹性工作时间，人工智能领域黑马，AI医疗,"医疗丨健康,数据服务",开发|测试|运维类,"['午餐补助', '弹性工作', '技能培训', '五险一金']",运维,兰州
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python开发实习生,应届毕业生,本科,9k-12k,业界大牛，每日三餐下午茶，瑜伽健身房。,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,北京
翼果（深圳）科技有限公司,翼果科技,50-150人,天使轮,南山区,Python后台工程师(科技园),1-3年,本科,10k-20k,"技术氛围浓厚,成长期,机会多","大数据,互联网,移动互联网",开发|测试|运维类,"['绩效奖金', '岗位晋升', '扁平管理', '领导好']",后端开发,深圳
上海寻梦信息技术有限公司,拼多多,2000人以上,上市公司,长宁区,高级Python开发工程师,1-3年,本科,20k-40k,"福利好,大牛多,成长快","电商,移动互联网",开发|测试|运维类,"['股票期权', '专项奖金', '弹性工作', '扁平管理']",数据开发,上海
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,徐汇区,Python后端工程师,5-10年,本科,23k-45k,人工智能；绩效奖金，餐补,人工智能,开发|测试|运维类,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",后端开发,上海
深圳小步网络科技有限公司,小步网络,150-500人,B轮,宝安区,高级Python后台开发工程师,3-5年,本科,20k-30k,"海外项目,发展空间大,环境宽松,大牛多",移动互联网,开发|测试|运维类,"['股票期权', '定期体检', '下午茶', '年度旅游']",后端开发,深圳
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,建邺区,Python后端开发工程师,5-10年,本科,18k-25k,发展空间、年终奖金、技术氛围浓厚,硬件,开发|测试|运维类,"['快速成长', '免费班车', '扁平管理', '技能培训']",后端开发,南京
深圳互乐科技有限公司,互乐科技,150-500人,不需要融资,海珠区,python后端开发工程师,3-5年,本科,13k-18k,扁平化 高额奖金 周末双休 公司nice,移动互联网,开发|测试|运维类,"['带薪年假', '专项奖金', '绩效奖金', '年度旅游']",后端开发,广州
深圳华秋电子有限公司,深圳华秋电子有限公司,150-500人,B轮,福田区,Python高级开发/爬虫工程师,3-5年,本科,15k-18k,"公司背景好,福利好,实力雄厚","移动互联网,电商",开发|测试|运维类,"['节日礼物', '年底双薪', '专项奖金', '带薪年假']",后端开发,深圳
北京博派通达科技有限公司,博派通达,50-150人,A轮,朝阳区,Python后端开发工程师,1-3年,大专,15k-30k,"地铁周边,超多大牛,免费茶歇,弹性工作","移动互联网,硬件",开发|测试|运维类,"['年底双薪', '股票期权', '带薪年假', '扁平管理']",后端开发,北京
北京墨云科技有限公司,墨云科技,50-150人,B轮,鼓楼区,python后端开发工程师,3-5年,本科,15k-30k,五险一金,信息安全,开发|测试|运维类,"['股票期权', '弹性工作', '五险一金', '午餐交通补助']",后端开发,南京
上海倾听信息技术有限公司,蜻蜓FM,150-500人,D轮及以上,朝阳区,Python 后端开发（北京）,1-3年,本科,18k-36k,发展前景优，工作氛围轻松,移动互联网,开发|测试|运维类,"['明星直播', '男女1:1', '带薪年假', '扁平管理']",后端开发,北京
西安星垂智能科技有限公司,星垂智能,15-50人,不需要融资,高新技术产业开发区,高级 Python 后端开发工程师,3-5年,本科,15k-25k,Work from home；免费健身房,"移动互联网,人工智能",开发|测试|运维类,"['带薪年假', '弹性工作', '健身房福利', '扁平管理']",后端开发,西安
深圳永安在线科技有限公司,威胁猎人,50-150人,A轮,南山区,python后台开发工程师（中级）,3-5年,本科,17k-25k,"报酬丰厚,氛围好,福利好,晋升空间大",信息安全,开发|测试|运维类,"['带薪年假', '股票期权', '绩效奖金', '扁平管理']",后端开发,深圳
北京黑尾互动科技有限公司,黑尾互动,15-50人,天使轮,朝阳区,Python后端工程师,3-5年,本科,18k-35k,出海前景大 一线风投背书 精英海归团队,"移动互联网,社交",开发|测试|运维类,"['午餐补助', '绩效奖金', '股票期权']",后端开发,北京
北京推想科技有限公司,推想科技,150-500人,C轮,吴江区,Python开发实施工程师（苏州）,1-3年,大专,6k-12k,弹性工作时间，人工智能领域黑马，AI医疗,"医疗丨健康,数据服务",开发|测试|运维类,"['午餐补助', '弹性工作', '技能培训', '五险一金']",后端开发,苏州
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,南山区,Python后端工程师,5-10年,本科,20k-40k,人工智能,人工智能,开发|测试|运维类,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",后端开发,深圳
网易（杭州）有限公司,网易,2000人以上,上市公司,天河区,Python开发工程师,3-5年,本科,20k-25k,福利好，大牛多，平台大，16薪,电商,开发|测试|运维类,"['节日礼物', '技能培训', '免费班车', '带薪年假']",后端开发,广州
深圳市金证优智科技有限公司,金证优智,15-50人,A轮,海淀区,python数据开发工程师,3-5年,本科,20k-40k,"技术大牛,团队氛围好,高成长",人工智能,开发|测试|运维类,[],后端开发,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,黄浦区,Python开发实习生-短视频方向,不限,本科,4k-8k,弹性工作，餐补，租房补贴，休闲下午茶，扁平管理，过亿用户，职业大牛，团队氛围好，优厚薪资,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,上海
重庆满惠网络科技有限公司,满惠科技,150-500人,不需要融资,江北区,python开发工程师,3-5年,大专,6k-10k,"平台广,弹性工作,节日福利","移动互联网,数据服务",开发|测试|运维类,[],后端开发,重庆
成都斯沃茨科技有限公司,Swartz,15-50人,A轮,高新区,python后端开发工程师,1-3年,本科,7k-11k,"朝九晚六,弹性上班时间,每月带薪事假","移动互联网,其他",开发|测试|运维类,"['弹性工作', '领导好', '带薪年假', '节日礼物']",后端开发,成都
全球生物医药产业发展（成都）有限公司,GDCC,50-150人,不需要融资,高新区,中级Python/Java工程师,3-5年,本科,10k-15k,发展前景 好团队,"移动互联网,医疗丨健康",开发|测试|运维类,"['专项奖金', '带薪年假', '领导好', '管理规范']",后端开发,成都
